trade_id	insider_name	symbol	txn_code	transaction_date	txn_price	shares	price+7day	PnL
683	WILLIAMS JEFFREY E	AAPL	S	2024-12-16	251.1	-8384	255.27	-34961.28
701	LEVINSON ARTHUR D	AAPL	S	2025-02-03	226.3501	-1516	227.65	-1970.65
739	Nadella Satya	MSFT	S	2024-08-23	417.412	-7199	417.14	1958.13
760	Nadella Satya	MSFT	S	2024-09-04	410.816	-1500	423.04	-18336.0
767	Hood Amy	MSFT	S	2024-09-05	410.5472	-38000	427.0	-625206.4
867	RAGHAVAN PRABHAKAR	GOOGL	S	2024-07-01	185.14	-100	189.03	-389.0
870	O'Toole Amie Thuener	GOOGL	S	2024-07-02	183.47	-682	188.98	-3757.82
880	Pichai Sundar	GOOGL	S	2024-07-03	187.1807	-13525	191.18	-54090.53
882	HENNESSY JOHN L	GOOGL	S	2024-07-12	186.4137	-474	177.66	4149.25
884	Pichai Sundar	GOOGL	S	2024-07-17	184.323	-1000	172.63	11693.0
1020	Olivan Javier	META	S	2024-08-15	526.76	-4900	531.93	-25333.0
1028	Zuckerberg Mark	META	S	2024-08-15	539.22	-400	531.93	2916.0
1049	Newstead Jennifer	META	S	2024-08-16	532.6056	-501	528.0	2307.41
1052	Bosworth Andrew	META	S	2024-08-16	532.8525	-2315	528.0	11233.54
1057	Clegg Nicholas	META	S	2024-08-16	533.5	-100	528.0	550.0
1063	Olivan Javier	META	S	2024-08-16	531.4	-619	528.0	2104.6
1064	Zuckerberg Mark	META	S	2024-08-16	532.8877	-372	528.0	1818.22
1078	Zuckerberg Mark	META	S	2024-08-19	531.0	-96	521.12	948.48
1094	Newstead Jennifer	META	S	2024-08-20	528.38	-905	519.1	8398.4
1097	Zuckerberg Mark	META	S	2024-08-20	530.715	-192	519.1	2230.08
1107	Zuckerberg Mark	META	S	2024-08-21	539.03	-100	516.78	2225.0
1129	Zuckerberg Mark	META	S	2024-08-22	543.43	-96	518.22	2420.16
1156	Olivan Javier	META	S	2024-08-23	536.92	-413	521.31	6446.93
1157	Zuckerberg Mark	META	S	2024-08-23	539.3947	-180	521.31	3255.25
1182	Zuckerberg Mark	META	S	2024-08-26	526.9668	-56	511.76	851.58
1201	LI SUSAN J	META	S	2024-08-27	519.7305	-1417	511.76	11294.2
1216	Newstead Jennifer	META	S	2024-08-27	519.05	-905	511.76	6597.45
1217	Zuckerberg Mark	META	S	2024-08-27	522.8165	-208	511.76	2299.75
1230	Zuckerberg Mark	META	S	2024-08-28	520.59	-96	512.74	753.6
1237	Zuckerberg Mark	META	S	2024-08-29	526.9068	-103	516.86	1034.82
1302	GRAYSON BLAKE JEFFREY	DOCU	S	2024-06-20	51.52	-29590	52.69	-34620.3
1304	Chatwani Robert	DOCU	S	2024-06-24	52.17	-14799	55.14	-43953.03
1305	Thygesen Allan C.	DOCU	S	2024-07-01	53.77	-7911	53.83	-474.66
1306	Shute Stephen	DOCU	S	2024-07-09	53.46	-2854	56.9	-9817.76
1326	Thygesen Allan C.	DOCU	S	2024-08-01	55.41	-1673	52.1	5537.63
1329	Springer Daniel D.	DOCU	S	2024-08-01	55.44	-4002	52.1	13366.68
1334	Springer Daniel D.	DOCU	S	2024-08-02	51.98	-59515	52.52	-32138.1
1338	Springer Daniel D.	DOCU	S	2024-08-05	50.21	-23501	52.02	-42536.81
1372	Viggiano Aidan	TWLO	S	2024-08-15	60.6903	-1961	58.9	3510.78
1373	Wagner Dana	TWLO	S	2024-08-15	60.694	-1989	58.9	3568.27
1374	Viggiano Aidan	TWLO	S	2024-08-20	61.6725	-1931	61.99	-613.09
1375	Wagner Dana	TWLO	S	2024-08-21	60.87	-591	60.93	-35.46
1389	Wagner Dana	TWLO	S	2024-09-30	65.0224	-4174	68.59	-14891.16
1390	Viggiano Aidan	TWLO	S	2024-09-30	65.51	-200	68.59	-616.0
1392	Shipchandler Khozema	TWLO	S	2024-09-30	65.5	-100	68.59	-309.0
1394	Wagner Dana	TWLO	S	2024-10-03	65.54	-1248	70.09	-5678.4
1395	Viggiano Aidan	TWLO	S	2024-10-03	65.54	-6682	70.09	-30403.1
1396	Shipchandler Khozema	TWLO	S	2024-10-03	66.1937	-11044	70.09	-43030.74
1397	Wagner Dana	TWLO	S	2024-10-07	70.0004	-4512	70.99	-4465.08
1398	Wagner Dana	TWLO	S	2024-10-31	80.0028	-4512	92.41	-55981.29
1399	Wagner Dana	TWLO	S	2024-11-06	90.0215	-4512	99.85	-44346.19
1400	Wagner Dana	TWLO	S	2024-11-14	100.3205	-4512	102.07	-7893.74
1449	Steckelberg Kelly	ZM	S	2024-06-12	63.14	-400	58.31	1932.0
1453	Crehan Shane	ZM	S	2024-06-13	60.25	-363	58.31	704.22
1462	Bawa Aparna	ZM	S	2024-06-18	56.8103	-836	57.79	-819.03
1466	Steckelberg Kelly	ZM	S	2024-06-26	57.5898	-5007	58.63	-5208.28
1483	Crehan Shane	ZM	S	2024-07-08	58.26	-2493	58.325	-162.05
1486	Sankarlingam Velchamy	ZM	S	2024-07-09	57.15	-3272	59.16	-6576.72
1645	BHARADWAJ ANUTTHARA	TEAM	S	2024-11-15	244.73	-1520	260.58	-24092.0
1646	Farquhar Scott	TEAM	S	2024-11-15	243.1972	-157	260.58	-2729.1
1654	RAJAN RAJEEV BASHYAM	TEAM	S	2024-11-18	239.3	-1295	261.0	-28101.5
1655	Cannon-Brookes Michael	TEAM	S	2024-11-18	241.632	-242	261.0	-4687.06
1660	Farquhar Scott	TEAM	S	2024-11-18	240.6973	-1210	261.0	-24566.27
1665	RAJAN RAJEEV BASHYAM	TEAM	S	2024-11-19	247.6537	-867	262.23	-12637.65
1677	LIU GENE	TEAM	S	2024-11-19	246.6424	-36	262.23	-561.15
1688	BINZ JOSEPH LEO	TEAM	S	2024-11-19	245.7457	-345	262.23	-5687.08
1700	BHARADWAJ ANUTTHARA	TEAM	S	2024-11-19	241.7929	-56	262.23	-1144.48
1712	Cannon-Brookes Michael	TEAM	S	2024-11-19	238.76	-100	262.23	-2347.0
1722	Farquhar Scott	TEAM	S	2024-11-19	237.26	-150	262.23	-3745.5
1732	Farquhar Scott	TEAM	S	2024-11-20	246.154	-1637	262.46	-26692.92
1740	Cannon-Brookes Michael	TEAM	S	2024-11-20	244.4394	-1471	262.46	-26508.3
1748	RAJAN RAJEEV BASHYAM	TEAM	S	2024-11-21	252.8051	-1432	263.58	-15429.66
